indicator	locality	council_district	calendar_year	as_of_date	unit_of_measure	value
UNEMPLOYMENT RATE	LOS ANGELES CITY	1	2013	04/11/2017	%	10.799648
UNEMPLOYMENT RATE	LOS ANGELES CITY	10	2013	04/11/2017	%	12.292843
UNEMPLOYMENT RATE	LOS ANGELES CITY	11	2013	04/11/2017	%	7.6204162
UNEMPLOYMENT RATE	LOS ANGELES CITY	12	2013	04/11/2017	%	8.6119814
UNEMPLOYMENT RATE	LOS ANGELES CITY	13	2013	04/11/2017	%	11.409262
UNEMPLOYMENT RATE	LOS ANGELES CITY	14	2013	04/11/2017	%	11.781295
UNEMPLOYMENT RATE	LOS ANGELES CITY	15	2013	04/11/2017	%	14.06265
UNEMPLOYMENT RATE	LOS ANGELES CITY	2	2013	04/11/2017	%	11.409038
UNEMPLOYMENT RATE	LOS ANGELES CITY	3	2013	04/11/2017	%	8.5080652
UNEMPLOYMENT RATE	LOS ANGELES CITY	4	2013	04/11/2017	%	8.8319311
UNEMPLOYMENT RATE	LOS ANGELES CITY	5	2013	04/11/2017	%	7.3090301
UNEMPLOYMENT RATE	LOS ANGELES CITY	6	2013	04/11/2017	%	10.632121
UNEMPLOYMENT RATE	LOS ANGELES CITY	7	2013	04/11/2017	%	12.025324
UNEMPLOYMENT RATE	LOS ANGELES CITY	8	2013	04/11/2017	%	15.472173
UNEMPLOYMENT RATE	LOS ANGELES CITY	9	2013	04/11/2017	%	13.050659
UNEMPLOYMENT RATE	LOS ANGELES CITY	CITY TOTAL	2013	04/11/2017	%	10.7
